Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.00      0.11     0.11  1529623     0.00     0.00  x86_inst_decode
 14.55      0.19     0.08  1797228     0.00     0.00  esim_domain_cycle
  5.45      0.22     0.03  1529623     0.00     0.00  X86ContextExecuteInst
  5.45      0.25     0.03                             esim_process_events
  3.64      0.27     0.02  9896622     0.00     0.00  list_count
  3.64      0.29     0.02  3738854     0.00     0.00  list_get
  3.64      0.31     0.02  1529623     0.00     0.00  X86ContextExecute
  3.64      0.33     0.02  1529623     0.00     0.00  mem_get_buffer
  3.64      0.35     0.02   763376     0.00     0.00  mem_read
  3.64      0.37     0.02   659424     0.00     0.00  si_compute_unit_run
  3.64      0.39     0.02     5248     0.00     0.00  mod_in_flight_write
  3.64      0.41     0.02                             arch_run
  1.82      0.42     0.01  1547140     0.00     0.00  m2s_timer_get_value
  1.82      0.43     0.01  1547136     0.00     0.00  EvgEmuRun
  1.82      0.44     0.01   633856     0.00     0.00  si_isa_read_vreg
  1.82      0.45     0.01   329064     0.00     0.00  si_compute_unit_fetch
  1.82      0.46     0.01   329064     0.00     0.00  si_simd_decode
  1.82      0.47     0.01   267534     0.00     0.00  esim_schedule_event
  1.82      0.48     0.01   233702     0.00     0.00  heap_insert
  1.82      0.49     0.01   194807     0.00     0.00  x86_isa_mov_rm32_r32_impl
  1.82      0.50     0.01    82266     0.00     0.00  si_scalar_unit_write
  1.82      0.51     0.01    24614     0.00     0.00  x86_isa_cmp_rm32_r32_impl
  1.82      0.52     0.01    23244     0.00     0.00  x86_isa_shl_rm32_imm8_impl
  1.82      0.53     0.01    22273     0.00     0.00  X86ContextStoreRm8
  1.82      0.54     0.01                             mem_copy
  1.82      0.55     0.01                             x86_inst_get_name
  0.00      0.55     0.00  1547137     0.00     0.00  esim_real_time
  0.00      0.55     0.00  1547136     0.00     0.00  ARMEmuRun
  0.00      0.55     0.00  1547136     0.00     0.00  FrmEmuRun
  0.00      0.55     0.00  1547136     0.00     0.00  MIPSEmuRun
  0.00      0.55     0.00  1547136     0.00     0.00  X86EmuProcessEvents
  0.00      0.55     0.00  1547136     0.00     0.00  X86EmuRun
  0.00      0.55     0.00  1545466     0.00     0.00  SIGpuRun
  0.00      0.55     0.00  1529623     0.00     0.00  x86_uinst_clear
  0.00      0.55     0.00   724695     0.00     0.00  X86ContextLoadRm32
  0.00      0.55     0.00   545726     0.00     0.00  X86ContextLoadReg
  0.00      0.55     0.00   537088     0.00     0.00  si_isa_write_vreg
  0.00      0.55     0.00   467884     0.00     0.00  X86ContextStoreReg
  0.00      0.55     0.00   447451     0.00     0.00  X86ContextStoreRm32
  0.00      0.55     0.00   415471     0.00     0.00  mem_write
