Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.00      0.51     0.51 16019136     0.00     0.00  si_compute_unit_fetch
 16.47      0.93     0.42 32038272     0.00     0.00  si_compute_unit_run
  5.88      1.08     0.15 157850222     0.00     0.00  list_count
  5.49      1.22     0.14  4004784     0.00     0.00  si_compute_unit_issue_oldest
  5.49      1.36     0.14  1392650     0.00     0.00  x86_inst_decode
  5.10      1.49     0.13 12043485     0.00     0.00  list_get
  3.14      1.57     0.08     1628     0.05     0.05  list_free
  2.75      1.64     0.07 16019136     0.00     0.00  si_simd_decode
  2.75      1.71     0.07 16019136     0.00     0.00  si_simd_execute
  2.75      1.78     0.07  2391263     0.00     0.00  SIGpuRun
  1.96      1.83     0.05  2472632     0.00     0.00  esim_domain_cycle
  1.96      1.88     0.05                             si_compute_unit_unmap_work_group
  1.57      1.92     0.04 16019136     0.00     0.00  si_simd_run
  1.57      1.96     0.04  2472360     0.00     0.00  X86EmuProcessEvents
  1.57      2.00     0.04                             arch_run
  1.18      2.03     0.03  4004784     0.00     0.00  si_branch_unit_write
  1.18      2.06     0.03  4004784     0.00     0.00  si_lds_decode
  1.18      2.09     0.03  4004784     0.00     0.00  si_lds_write
  1.18      2.12     0.03  4004784     0.00     0.00  si_scalar_unit_execute
  1.18      2.15     0.03  4004784     0.00     0.00  si_scalar_unit_read
  1.18      2.18     0.03  1392650     0.00     0.00  X86ContextExecute
  1.18      2.21     0.03                             mem_copy
  0.78      2.23     0.02  4004784     0.00     0.00  si_branch_unit_complete
  0.78      2.25     0.02  4004784     0.00     0.00  si_branch_unit_decode
  0.78      2.27     0.02  4004784     0.00     0.00  si_branch_unit_execute
  0.78      2.29     0.02  4004784     0.00     0.00  si_branch_unit_read
  0.78      2.31     0.02  4004784     0.00     0.00  si_lds_run
  0.78      2.33     0.02  4004784     0.00     0.00  si_scalar_unit_complete
  0.78      2.35     0.02  4004784     0.00     0.00  si_scalar_unit_decode
  0.78      2.37     0.02  2472364     0.00     0.00  m2s_timer_get_value
  0.78      2.39     0.02  1392650     0.00     0.00  X86ContextExecuteInst
  0.78      2.41     0.02   597774     0.00     0.00  mem_read
  0.78      2.43     0.02                             si_simd_complete
  0.39      2.44     0.01  4004784     0.00     0.00  si_lds_complete
  0.39      2.45     0.01  4004784     0.00     0.00  si_lds_mem
  0.39      2.46     0.01  4004784     0.00     0.00  si_lds_read
  0.39      2.47     0.01  4004784     0.00     0.00  si_scalar_unit_write
  0.39      2.48     0.01  2472360     0.00     0.00  EvgEmuRun
  0.39      2.49     0.01  2472360     0.00     0.00  X86EmuRun
  0.39      2.50     0.01  1392650     0.00     0.00  x86_uinst_clear
  0.39      2.51     0.01  1082555     0.00     0.00  heap_peek
  0.39      2.52     0.01   358555     0.00     0.00  mem_write
  0.39      2.53     0.01    20470     0.00     0.00  x86_isa_test_rm8_r8_impl
  0.39      2.54     0.01     7809     0.00     0.00  list_add
  0.20      2.55     0.01      483     0.01     0.01  x86_isa_sub_r32_rm32_impl
  0.20      2.55     0.01                             x86_isa_sub_r16_rm16_impl
  0.00      2.55     0.00 14018287     0.00     0.00  X86ContextGetState
  0.00      2.55     0.00  4004784     0.00     0.00  si_branch_unit_run
