Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1053     0.00     0.00  __xcalloc
  0.00      0.00     0.00      208     0.00     0.00  list_count
  0.00      0.00     0.00      185     0.00     0.00  list_get
  0.00      0.00     0.00      140     0.00     0.00  __xstrdup
  0.00      0.00     0.00       90     0.00     0.00  list_add
  0.00      0.00     0.00       84     0.00     0.00  esim_register_event_with_name
  0.00      0.00     0.00       27     0.00     0.00  linked_list_head
  0.00      0.00     0.00       25     0.00     0.00  linked_list_is_end
  0.00      0.00     0.00       13     0.00     0.00  list_create
  0.00      0.00     0.00       12     0.00     0.00  list_free
  0.00      0.00     0.00       11     0.00     0.00  class_init
  0.00      0.00     0.00       11     0.00     0.00  class_register
  0.00      0.00     0.00       10     0.00     0.00  hash_table_get
  0.00      0.00     0.00        9     0.00     0.00  linked_list_create
  0.00      0.00     0.00        9     0.00     0.00  linked_list_free
  0.00      0.00     0.00        7     0.00     0.00  ObjectDestroy
  0.00      0.00     0.00        7     0.00     0.00  class_delete
  0.00      0.00     0.00        7     0.00     0.00  class_new
  0.00      0.00     0.00        7     0.00     0.00  m2s_timer_create
  0.00      0.00     0.00        6     0.00     0.00  EmuCreate
  0.00      0.00     0.00        6     0.00     0.00  EmuDestroy
  0.00      0.00     0.00        6     0.00     0.00  linked_list_get
  0.00      0.00     0.00        6     0.00     0.00  m2s_timer_free
  0.00      0.00     0.00        6     0.00     0.00  mem_config_calculate_mod_levels_arch
  0.00      0.00     0.00        6     0.00     0.00  mem_config_check
  0.00      0.00     0.00        6     0.00     0.00  mem_config_check_disjoint
  0.00      0.00     0.00        6     0.00     0.00  mem_config_default
  0.00      0.00     0.00        5     0.00     0.00  mem_create
  0.00      0.00     0.00        5     0.00     0.00  mem_free
  0.00      0.00     0.00        4     0.00     0.00  arch_for_each
  0.00      0.00     0.00        4     0.00     0.00  hash_table_find_next
  0.00      0.00     0.00        4     0.00     0.00  hash_table_insert
  0.00      0.00     0.00        4     0.00     0.00  linked_list_find
  0.00      0.00     0.00        4     0.00     0.00  str_single_spaces
  0.00      0.00     0.00        3     0.00     0.00  config_read_string
  0.00      0.00     0.00        3     0.00     0.00  config_section_first
  0.00      0.00     0.00        3     0.00     0.00  esim_new_domain
  0.00      0.00     0.00        3     0.00     0.00  hash_table_find_first
  0.00      0.00     0.00        3     0.00     0.00  str_trim
  0.00      0.00     0.00        2     0.00     0.00  config_read_int
  0.00      0.00     0.00        2     0.00     0.00  evg_opencl_repo_add_object
  0.00      0.00     0.00        2     0.00     0.00  evg_opencl_repo_new_object_id
  0.00      0.00     0.00        2     0.00     0.00  evg_opencl_repo_remove_object
  0.00      0.00     0.00        2     0.00     0.00  file_close
  0.00      0.00     0.00        2     0.00     0.00  hash_table_create
  0.00      0.00     0.00        2     0.00     0.00  hash_table_free
  0.00      0.00     0.00        2     0.00     0.00  heap_error
  0.00      0.00     0.00        2     0.00     0.00  heap_extract
  0.00      0.00     0.00        2     0.00     0.00  linked_list_add
  0.00      0.00     0.00        2     0.00     0.00  linked_list_count
  0.00      0.00     0.00        2     0.00     0.00  linked_list_remove
  0.00      0.00     0.00        2     0.00     0.00  repos_create
  0.00      0.00     0.00        2     0.00     0.00  repos_free
  0.00      0.00     0.00        2     0.00     0.00  trace_new_category
  0.00      0.00     0.00        1     0.00     0.00  ARMEmuDestroy
  0.00      0.00     0.00        1     0.00     0.00  ARMEmuRun
  0.00      0.00     0.00        1     0.00     0.00  AsmCreate
  0.00      0.00     0.00        1     0.00     0.00  AsmDestroy
  0.00      0.00     0.00        1     0.00     0.00  EvgEmuDestroy
  0.00      0.00     0.00        1     0.00     0.00  EvgEmuRun
  0.00      0.00     0.00        1     0.00     0.00  FrmEmuDestroy
  0.00      0.00     0.00        1     0.00     0.00  FrmEmuRun
  0.00      0.00     0.00        1     0.00     0.00  MIPSEmuDestroy
  0.00      0.00     0.00        1     0.00     0.00  MIPSEmuRun
  0.00      0.00     0.00        1     0.00     0.00  SIEmuDestroy
  0.00      0.00     0.00        1     0.00     0.00  SIEmuRun
  0.00      0.00     0.00        1     0.00     0.00  X86AsmCreate
  0.00      0.00     0.00        1     0.00     0.00  X86AsmDestroy
  0.00      0.00     0.00        1     0.00     0.00  X86EmuDestroy
  0.00      0.00     0.00        1     0.00     0.00  X86EmuRun
  0.00      0.00     0.00        1     0.00     0.00  arch_get_sim_kind_detailed_count
  0.00      0.00     0.00        1     0.00     0.00  arm_disasm_done
  0.00      0.00     0.00        1     0.00     0.00  arm_disasm_init
  0.00      0.00     0.00        1     0.00     0.00  arm_emu_done
  0.00      0.00     0.00        1     0.00     0.00  arm_emu_init
  0.00      0.00     0.00        1     0.00     0.00  arm_sys_done
  0.00      0.00     0.00        1     0.00     0.00  arm_sys_init
  0.00      0.00     0.00        1     0.00     0.00  arm_thumb16_disasm_init
  0.00      0.00     0.00        1     0.00     0.00  arm_thumb32_disasm_init
  0.00      0.00     0.00        1     0.00     0.00  config_check
  0.00      0.00     0.00        1     0.00     0.00  config_create
  0.00      0.00     0.00        1     0.00     0.00  config_free
  0.00      0.00     0.00        1     0.00     0.00  config_read_bool
  0.00      0.00     0.00        1     0.00     0.00  config_section_exists
  0.00      0.00     0.00        1     0.00     0.00  esim_drain_heap
  0.00      0.00     0.00        1     0.00     0.00  evg_disasm_done
  0.00      0.00     0.00        1     0.00     0.00  evg_disasm_init
  0.00      0.00     0.00        1     0.00     0.00  evg_emu_done
  0.00      0.00     0.00        1     0.00     0.00  evg_emu_init
  0.00      0.00     0.00        1     0.00     0.00  evg_isa_done
  0.00      0.00     0.00        1     0.00     0.00  evg_isa_init
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_device_create
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_device_free
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_platform_create
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_platform_free
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_repo_create
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_repo_free
  0.00      0.00     0.00        1     0.00     0.00  evg_opencl_repo_free_all_objects
  0.00      0.00     0.00        1     0.00     0.00  file_open_for_write
  0.00      0.00     0.00        1     0.00     0.00  frm_disasm_done
  0.00      0.00     0.00        1     0.00     0.00  frm_disasm_init
  0.00      0.00     0.00        1     0.00     0.00  frm_emu_done
  0.00      0.00     0.00        1     0.00     0.00  frm_emu_init
  0.00      0.00     0.00        1     0.00     0.00  frm_isa_done
  0.00      0.00     0.00        1     0.00     0.00  frm_isa_init
  0.00      0.00     0.00        1     0.00     0.00  heap_create
  0.00      0.00     0.00        1     0.00     0.00  heap_free
  0.00      0.00     0.00        1     0.00     0.00  linked_list_next
  0.00      0.00     0.00        1     0.00     0.00  list_create_with_size
  0.00      0.00     0.00        1     0.00     0.00  log_base2
  0.00      0.00     0.00        1     0.00     0.00  m2s_timer_start
